Timestamp,Issue Description,Status,Username
2024-04-23T21:43:43.795571400,Blah1,OPEN,Psail@gmail.com
2024-04-23T21:43:54.243734,Dylan the goat 2,OPEN,Psail@gmail.com
2024-04-23T21:44:05.431436400,Jeremiah rock climbing 3,OPEN,Psail@gmail.com
2024-04-23T21:43:43.795571400,Blah1,OPEN,Psail@gmail.com
2024-04-23T21:43:54.243734,Dylan the goat 2,OPEN,Psail@gmail.com
2024-04-23T21:44:05.431436400,Jeremiah rock climbing 3,RESOLVED,Psail@gmail.com
2024-04-23T21:43:43.795571400,Blah1,OPEN,Psail@gmail.com
2024-04-23T21:43:54.243734,Dylan the goat 2,RESOLVED,Psail@gmail.com
2024-04-23T21:44:05.431436400,Jeremiah rock climbing 3,RESOLVED,Psail@gmail.com
2024-04-23T21:43:43.795571400,Blah1,RESOLVED,Psail@gmail.com
2024-04-23T21:43:54.243734,Dylan the goat 2,RESOLVED,Psail@gmail.com
2024-04-23T21:44:05.431436400,Jeremiah rock climbing 3,RESOLVED,Psail@gmail.com
